Data Source,World Development Indicators,,,,,
,,,,,,
Last Updated Date,7/20/22,,,,,
,,,,,,
Euro area,EMU,"Population, total",SP.POP.TOTL,342283354,342708355,342566541
Eritrea,ERI,"Population, total",SP.POP.TOTL,,,
Spain,ESP,"Population, total",SP.POP.TOTL,47134837,47363419,47326687
Estonia,EST,"Population, total",SP.POP.TOTL,1326855,1329479,1329254
Ethiopia,ETH,"Population, total",SP.POP.TOTL,112078727,114963583,117876226
European Union,EUU,"Population, total",SP.POP.TOTL,447197811,447479493,446946712
Fragile and conflict affected situations,FCS,"Population, total",SP.POP.TOTL,940026046,960960554,982980816
Finland,FIN,"Population, total",SP.POP.TOTL,5521606,5529543,5541696
Fiji,FJI,"Population, total",SP.POP.TOTL,889955,896444,902899
France,FRA,"Population, total",SP.POP.TOTL,67248926,67379908,67499343
Faroe Islands,FRO,"Population, total",SP.POP.TOTL,48677,48865,49053
"Micronesia, Fed. Sts.",FSM,"Population, total",SP.POP.TOTL,113811,115021,116255
Gabon,GAB,"Population, total",SP.POP.TOTL,2172578,2225728,2278829
United Kingdom,GBR,"Population, total",SP.POP.TOTL,66836327,67081000,67326569
Georgia,GEO,"Population, total",SP.POP.TOTL,3720161,3722716,3708610
Ghana,GHA,"Population, total",SP.POP.TOTL,30417858,31072945,31732128
Gibraltar,GIB,"Population, total",SP.POP.TOTL,33706,33691,33691
Guinea,GIN,"Population, total",SP.POP.TOTL,12771246,13132792,13497237
"Gambia, The",GMB,"Population, total",SP.POP.TOTL,2347696,2416664,2486937
Guinea-Bissau,GNB,"Population, total",SP.POP.TOTL,1920917,1967998,2015490
Equatorial Guinea,GNQ,"Population, total",SP.POP.TOTL,1355982,1402985,1449891
Greece,GRC,"Population, total",SP.POP.TOTL,10721582,10700556,10664568
Grenada,GRD,"Population, total",SP.POP.TOTL,112002,112519,113015
Greenland,GRL,"Population, total",SP.POP.TOTL,56225,56367,56653
Guatemala,GTM,"Population, total",SP.POP.TOTL,16604026,16858333,17109746
Guam,GUM,"Population, total",SP.POP.TOTL,167295,168783,170184
Guyana,GUY,"Population, total",SP.POP.TOTL,782775,786559,790329
High income,HIC,"Population, total",SP.POP.TOTL,1234830048,1240684527,1241374277
"Hong Kong SAR, China",HKG,"Population, total",SP.POP.TOTL,7507900,7481000,7413100
Honduras,HND,"Population, total",SP.POP.TOTL,9746115,9904608,10062994
Heavily indebted poor countries (HIPC),HPC,"Population, total",SP.POP.TOTL,801708019,823480038,845522272
Croatia,HRV,"Population, total",SP.POP.TOTL,4065253,4047680,3899000
Haiti,HTI,"Population, total",SP.POP.TOTL,11263079,11402533,11541683
Hungary,HUN,"Population, total",SP.POP.TOTL,9771141,9750149,9709886
IBRD only,IBD,"Population, total",SP.POP.TOTL,4826259460,4862446431,4895295243
IDA & IBRD total,IBT,"Population, total",SP.POP.TOTL,6496952025,6571053159,6642614110
IDA total,IDA,"Population, total",SP.POP.TOTL,1670692565,1708606728,1747318867
IDA blend,IDB,"Population, total",SP.POP.TOTL,561571929,574159138,586883422
Indonesia,IDN,"Population, total",SP.POP.TOTL,270625567,273523621,276361788
IDA only,IDX,"Population, total",SP.POP.TOTL,1109120636,1134447590,1160435445
Isle of Man,IMN,"Population, total",SP.POP.TOTL,84589,85032,85410
India,IND,"Population, total",SP.POP.TOTL,1366417756,1380004385,1393409033
Not classified,INX,"Population, total",SP.POP.TOTL,,,
Ireland,IRL,"Population, total",SP.POP.TOTL,4934340,4985674,5028230
"Iran, Islamic Rep.",IRN,"Population, total",SP.POP.TOTL,82913893,83992953,85028760
Iraq,IRQ,"Population, total",SP.POP.TOTL,39309789,40222503,41179351
Iceland,ISL,"Population, total",SP.POP.TOTL,360563,366463,372295
Israel,ISR,"Population, total",SP.POP.TOTL,9054000,9215100,9364000
Italy,ITA,"Population, total",SP.POP.TOTL,59729081,59449527,59066225
Jamaica,JAM,"Population, total",SP.POP.TOTL,2948277,2961161,2973462
Jordan,JOR,"Population, total",SP.POP.TOTL,10101697,10203140,10269022
Japan,JPN,"Population, total",SP.POP.TOTL,126633000,126261000,125681593
Kazakhstan,KAZ,"Population, total",SP.POP.TOTL,18513673,18755666,19002586
Kenya,KEN,"Population, total",SP.POP.TOTL,52573967,53771300,54985702
Kyrgyz Republic,KGZ,"Population, total",SP.POP.TOTL,6456200,6579900,6694200
Cambodia,KHM,"Population, total",SP.POP.TOTL,16486542,16718971,16946446
Kiribati,KIR,"Population, total",SP.POP.TOTL,117608,119446,121388
St. Kitts and Nevis,KNA,"Population, total",SP.POP.TOTL,52834,53192,53546
"Korea, Rep.",KOR,"Population, total",SP.POP.TOTL,51764822,51836239,51744876
Kuwait,KWT,"Population, total",SP.POP.TOTL,4207077,4270563,4328553
Latin America & Caribbean (excluding high income),LAC,"Population, total",SP.POP.TOTL,585257302,590928198,596217644
Lao PDR,LAO,"Population, total",SP.POP.TOTL,7169456,7275556,7379358
Lebanon,LBN,"Population, total",SP.POP.TOTL,6855709,6825442,6769151
Liberia,LBR,"Population, total",SP.POP.TOTL,4937374,5057677,5180208
Libya,LBY,"Population, total",SP.POP.TOTL,6777453,6871287,6958538
St. Lucia,LCA,"Population, total",SP.POP.TOTL,182795,183629,184401
Latin America & Caribbean,LCN,"Population, total",SP.POP.TOTL,646431661,652365260,658089208
Least developed countries: UN classification,LDC,"Population, total",SP.POP.TOTL,1033088986,1057131013,1081504804
Low income,LIC,"Population, total",SP.POP.TOTL,665731857,683532991,701926973
Liechtenstein,LIE,"Population, total",SP.POP.TOTL,38020,38137,38254
