Country name,year,Life Ladder,Log GDP per capita,Social support,Healthy life expectancy at birth,Freedom to make life choices,Generosity,Perceptions of corruption,Positive affect,Negative affect
Russia,2008,5.619,10.125,0.882,59.84,0.643,-0.305,0.924,0.594,0.166
Rwanda,2008,4.363,7.239,0.486,53.04,0.752,0.017,0.286,0.643,0.221
Saudi Arabia,2008,6.811,10.722,0.823,64.04,0.532,-0.022,0.508,0.71,0.202
Senegal,2008,4.683,7.916,0.756,54.74,0.612,-0.03,0.879,0.673,0.252
Sierra Leone,2008,2.997,7.215,0.591,42.1,0.716,0.148,0.925,0.534,0.37
Singapore,2008,6.642,11.178,0.845,74.2,0.661,0.046,0.066,0.721,0.256
South Africa,2008,5.346,9.444,0.81,49.26,0.749,-0.095,0.866,0.773,0.206
South Korea,2008,5.39,10.383,0.754,70.8,0.524,-0.102,0.771,0.643,0.239
Spain,2008,7.294,10.579,0.948,72.34,0.834,-0.15,0.683,0.772,0.26
Sri Lanka,2008,4.431,9.021,0.816,65.94,0.834,0.163,0.861,0.79,0.153
Sweden,2008,7.516,10.793,0.923,71.62,0.912,0.125,0.314,0.804,0.134
Syria,2008,5.323,8.652,0.712,63.9,0.661,0.122,0.68,0.609,0.338
Taiwan Province of China,2008,5.548,10.606,0.83,69.14,0.642,-0.017,0.785,0.794,0.169
Tajikistan,2008,5.064,7.665,0.701,61.52,0.816,0.018,0.723,0.606,0.16
Tanzania,2008,4.385,7.549,0.774,50.5,0.562,0.256,0.93,0.744,0.178
Thailand,2008,5.636,9.52,0.832,64.82,0.868,0.425,0.933,0.819,0.145
Togo,2008,2.808,7.052,0.291,50.18,0.287,-0.055,0.932,0.362,0.379
Trinidad and Tobago,2008,6.696,10.295,0.858,62.08,0.838,0.087,0.959,0.817,0.184
Turkey,2008,5.118,9.899,0.645,63.68,0.415,-0.189,0.785,0.614,0.345
Uganda,2008,4.569,7.471,0.813,48.44,0.578,-0.055,0.848,0.641,0.24
Ukraine,2008,5.172,9.488,0.86,61.16,0.487,-0.265,0.929,0.573,0.186
United Kingdom,2008,6.986,10.689,0.954,70.74,0.759,0.331,0.548,0.819,0.218
United States,2008,7.28,10.922,0.953,68.38,0.878,0.255,0.668,0.872,0.227
Uruguay,2008,5.664,9.671,0.879,67.72,0.808,-0.143,0.597,0.751,0.264
Uzbekistan,2008,5.311,8.339,0.894,62.32,0.831,-0.023,,0.714,0.187
Venezuela,2008,6.258,9.701,0.922,65.58,0.678,-0.225,0.776,0.802,0.224
Vietnam,2008,5.48,8.44,0.805,66.18,0.889,0.201,0.789,0.665,0.218
Zambia,2008,4.73,7.918,0.624,47.18,0.717,0.056,0.89,0.744,0.206
Zimbabwe,2008,3.174,7.461,0.843,44.14,0.344,-0.09,0.964,0.631,0.25
